Vardas Pavardė ND1 ND2 ND3 Egz.
Vardas56612 Pavardė56612 2 2 4 5
Vardas56613 Pavardė56613 3 3 4 6
Vardas56614 Pavardė56614 8 0 8 1
Vardas56615 Pavardė56615 0 0 0 7
Vardas56616 Pavardė56616 4 3 3 9
Vardas56617 Pavardė56617 4 1 10 8
Vardas56618 Pavardė56618 7 5 0 9
Vardas56619 Pavardė56619 2 1 4 9
Vardas56620 Pavardė56620 0 2 1 10
Vardas56621 Pavardė56621 7 5 2 10
Vardas56622 Pavardė56622 5 10 8 4
Vardas56623 Pavardė56623 10 3 9 10
Vardas56624 Pavardė56624 1 3 5 4
Vardas56625 Pavardė56625 0 9 7 8
Vardas56626 Pavardė56626 0 7 1 4
Vardas56627 Pavardė56627 7 6 3 9
Vardas56628 Pavardė56628 5 5 1 1
Vardas56629 Pavardė56629 7 8 10 10
Vardas56630 Pavardė56630 10 6 1 7
Vardas56631 Pavardė56631 3 6 0 0
Vardas56632 Pavardė56632 0 4 9 0
Vardas56633 Pavardė56633 4 1 0 7
Vardas56634 Pavardė56634 9 4 8 8
Vardas56635 Pavardė56635 2 7 0 8
Vardas56636 Pavardė56636 1 5 10 3
Vardas56637 Pavardė56637 3 9 2 3
Vardas56638 Pavardė56638 3 3 4 2
Vardas56639 Pavardė56639 8 2 0 7
Vardas56640 Pavardė56640 9 6 6 2
Vardas56641 Pavardė56641 0 9 8 9
Vardas56642 Pavardė56642 8 10 2 2
Vardas56643 Pavardė56643 0 0 3 0
Vardas56644 Pavardė56644 7 6 7 3
Vardas56645 Pavardė56645 10 8 9 8
Vardas56646 Pavardė56646 1 1 2 8
Vardas56647 Pavardė56647 2 10 8 4
Vardas56648 Pavardė56648 6 2 7 0
Vardas56649 Pavardė56649 9 1 1 5
Vardas56650 Pavardė56650 1 1 7 8
Vardas56651 Pavardė56651 3 10 6 3
Vardas56652 Pavardė56652 5 6 5 0
Vardas56653 Pavardė56653 2 6 8 8
Vardas56654 Pavardė56654 6 9 7 2
Vardas56655 Pavardė56655 3 3 2 7
Vardas56656 Pavardė56656 8 4 7 4
Vardas56657 Pavardė56657 2 8 4 5
Vardas56658 Pavardė56658 8 3 6 6
Vardas56659 Pavardė56659 3 7 0 9
Vardas56660 Pavardė56660 4 10 1 10
Vardas56661 Pavardė56661 9 3 2 10
Vardas56662 Pavardė56662 10 4 7 10
Vardas56663 Pavardė56663 6 0 7 6
Vardas56664 Pavardė56664 5 2 9 1
Vardas56665 Pavardė56665 6 1 1 8
Vardas56666 Pavardė56666 9 8 9 1
Vardas56667 Pavardė56667 1 4 5 8
Vardas56668 Pavardė56668 6 8 10 8
Vardas56669 Pavardė56669 0 0 5 5
Vardas56670 Pavardė56670 6 9 7 8
Vardas56671 Pavardė56671 9 10 6 4
Vardas56672 Pavardė56672 0 6 0 9
Vardas56673 Pavardė56673 7 3 1 9
Vardas56674 Pavardė56674 1 7 3 3
Vardas56675 Pavardė56675 10 6 5 3
Vardas56676 Pavardė56676 7 5 9 8
Vardas56677 Pavardė56677 6 2 3 5
Vardas56678 Pavardė56678 5 5 3 7
Vardas56679 Pavardė56679 6 1 7 0
Vardas56680 Pavardė56680 6 8 4 4
Vardas56681 Pavardė56681 8 7 4 4
Vardas56682 Pavardė56682 10 4 3 2
Vardas56683 Pavardė56683 10 8 4 0
Vardas56684 Pavardė56684 0 3 2 0
Vardas56685 Pavardė56685 7 2 5 8
Vardas56686 Pavardė56686 9 2 2 0
Vardas56687 Pavardė56687 4 4 7 1
Vardas56688 Pavardė56688 4 0 10 7
Vardas56689 Pavardė56689 3 7 1 8
Vardas56690 Pavardė56690 6 9 0 7
Vardas56691 Pavardė56691 9 4 3 9
Vardas56692 Pavardė56692 1 3 0 8
Vardas56693 Pavardė56693 10 5 2 2
Vardas56694 Pavardė56694 1 8 5 7
Vardas56695 Pavardė56695 10 1 1 5
Vardas56696 Pavardė56696 4 5 4 2
Vardas56697 Pavardė56697 9 9 7 1
Vardas56698 Pavardė56698 5 4 2 6
Vardas56699 Pavardė56699 0 3 7 1
Vardas56700 Pavardė56700 1 6 0 7
Vardas56701 Pavardė56701 6 6 7 5
Vardas56702 Pavardė56702 9 2 4 5
Vardas56703 Pavardė56703 6 4 9 5
Vardas56704 Pavardė56704 10 0 0 8
Vardas56705 Pavardė56705 7 9 9 5
Vardas56706 Pavardė56706 2 8 7 10
Vardas56707 Pavardė56707 3 0 3 4
Vardas56708 Pavardė56708 7 5 0 5
Vardas56709 Pavardė56709 2 1 3 0
Vardas56710 Pavardė56710 8 3 2 0
Vardas56711 Pavardė56711 8 5 8 4
Vardas56712 Pavardė56712 8 8 0 7
Vardas56713 Pavardė56713 1 3 3 8
Vardas56714 Pavardė56714 7 8 4 4
Vardas56715 Pavardė56715 7 6 1 8
Vardas56716 Pavardė56716 9 1 9 10
Vardas56717 Pavardė56717 10 10 9 2
Vardas56718 Pavardė56718 3 5 8 1
Vardas56719 Pavardė56719 1 8 6 4
Vardas56720 Pavardė56720 4 7 4 0
Vardas56721 Pavardė56721 5 0 4 9
Vardas56722 Pavardė56722 5 4 8 0
Vardas56723 Pavardė56723 1 10 0 5
Vardas56724 Pavardė56724 0 1 8 2
Vardas56725 Pavardė56725 1 9 6 1
Vardas56726 Pavardė56726 10 7 9 8
Vardas56727 Pavardė56727 10 0 2 6
Vardas56728 Pavardė56728 3 1 3 10
Vardas56729 Pavardė56729 2 10 1 1
Vardas56730 Pavardė56730 8 6 2 1
Vardas56731 Pavardė56731 4 0 9 4
Vardas56732 Pavardė56732 3 0 3 6
Vardas56733 Pavardė56733 1 9 1 7
Vardas56734 Pavardė56734 4 4 7 5
Vardas56735 Pavardė56735 6 4 10 7
Vardas56736 Pavardė56736 9 4 5 6
Vardas56737 Pavardė56737 4 0 3 1
Vardas56738 Pavardė56738 8 6 4 2
Vardas56739 Pavardė56739 7 2 7 2
Vardas56740 Pavardė56740 1 2 9 2
Vardas56741 Pavardė56741 1 10 3 10
Vardas56742 Pavardė56742 9 9 3 10
Vardas56743 Pavardė56743 5 0 2 4
Vardas56744 Pavardė56744 8 0 6 3
Vardas56745 Pavardė56745 2 4 5 1
Vardas56746 Pavardė56746 6 2 2 2
Vardas56747 Pavardė56747 5 5 7 6
Vardas56748 Pavardė56748 4 8 5 1
Vardas56749 Pavardė56749 3 2 6 4
Vardas56750 Pavardė56750 9 8 5 4
Vardas56751 Pavardė56751 0 5 6 3
Vardas56752 Pavardė56752 1 1 5 10
Vardas56753 Pavardė56753 0 3 8 1
Vardas56754 Pavardė56754 5 2 0 7
Vardas56755 Pavardė56755 7 2 5 9
Vardas56756 Pavardė56756 7 2 1 8
Vardas56757 Pavardė56757 8 10 7 9
Vardas56758 Pavardė56758 8 5 10 5
Vardas56759 Pavardė56759 3 5 1 8
Vardas56760 Pavardė56760 6 9 6 10
Vardas56761 Pavardė56761 9 9 0 2
Vardas56762 Pavardė56762 4 6 0 10
Vardas56763 Pavardė56763 2 10 8 5
Vardas56764 Pavardė56764 5 6 2 2
Vardas56765 Pavardė56765 8 5 7 4
Vardas56766 Pavardė56766 10 9 7 8
Vardas56767 Pavardė56767 7 2 8 10
Vardas56768 Pavardė56768 4 4 0 7
Vardas56769 Pavardė56769 10 4 2 2
Vardas56770 Pavardė56770 8 1 8 3
Vardas56771 Pavardė56771 6 1 7 6
Vardas56772 Pavardė56772 4 8 1 6
Vardas56773 Pavardė56773 4 1 10 4
Vardas56774 Pavardė56774 7 5 9 5
Vardas56775 Pavardė56775 4 8 10 10
Vardas56776 Pavardė56776 9 1 7 10
Vardas56777 Pavardė56777 2 7 3 7
Vardas56778 Pavardė56778 3 1 2 10
Vardas56779 Pavardė56779 8 3 1 0
Vardas56780 Pavardė56780 3 0 7 3
Vardas56781 Pavardė56781 8 5 10 10
Vardas56782 Pavardė56782 3 3 8 2
Vardas56783 Pavardė56783 7 1 0 6
Vardas56784 Pavardė56784 1 2 3 2
Vardas56785 Pavardė56785 0 9 8 0
Vardas56786 Pavardė56786 3 5 2 7
Vardas56787 Pavardė56787 3 2 7 8
Vardas56788 Pavardė56788 2 2 9 4
Vardas56789 Pavardė56789 10 2 3 10
Vardas56790 Pavardė56790 1 3 2 9
Vardas56791 Pavardė56791 7 7 10 8
Vardas56792 Pavardė56792 8 3 9 9
Vardas56793 Pavardė56793 1 10 0 8
Vardas56794 Pavardė56794 5 7 0 2
Vardas56795 Pavardė56795 8 7 8 3
Vardas56796 Pavardė56796 1 1 7 0
Vardas56797 Pavardė56797 8 9 8 0
Vardas56798 Pavardė56798 4 6 10 6
Vardas56799 Pavardė56799 5 8 5 0
Vardas56800 Pavardė56800 7 0 7 9
Vardas56801 Pavardė56801 5 5 9 0
Vardas56802 Pavardė56802 0 9 2 3
Vardas56803 Pavardė56803 10 7 4 4
Vardas56804 Pavardė56804 1 6 8 10
Vardas56805 Pavardė56805 4 3 9 10
Vardas56806 Pavardė56806 2 1 1 8
Vardas56807 Pavardė56807 1 6 0 8
Vardas56808 Pavardė56808 4 8 2 5
Vardas56809 Pavardė56809 4 3 5 7
Vardas56810 Pavardė56810 10 7 4 6
Vardas56811 Pavardė56811 3 0 5 2
Vardas56812 Pavardė56812 9 6 4 10
Vardas56813 Pavardė56813 8 4 6 0
Vardas56814 Pavardė56814 9 5 9 6
Vardas56815 Pavardė56815 9 0 8 2
Vardas56816 Pavardė56816 8 7 3 2
Vardas56817 Pavardė56817 6 4 9 8
Vardas56818 Pavardė56818 9 5 5 0
Vardas56819 Pavardė56819 5 10 4 10
Vardas56820 Pavardė56820 5 1 7 4
Vardas56821 Pavardė56821 7 1 7 6
Vardas56822 Pavardė56822 1 5 9 0
Vardas56823 Pavardė56823 7 5 7 7
Vardas56824 Pavardė56824 2 3 9 2
Vardas56825 Pavardė56825 9 9 6 10
Vardas56826 Pavardė56826 9 0 6 0
Vardas56827 Pavardė56827 10 5 5 8
Vardas56828 Pavardė56828 7 2 6 8
Vardas56829 Pavardė56829 2 5 10 8
Vardas56830 Pavardė56830 8 0 7 9
Vardas56831 Pavardė56831 6 8 1 9
Vardas56832 Pavardė56832 5 8 0 6
Vardas56833 Pavardė56833 3 6 0 9
Vardas56834 Pavardė56834 8 10 0 4
Vardas56835 Pavardė56835 2 0 8 5
Vardas56836 Pavardė56836 5 6 3 2
Vardas56837 Pavardė56837 2 8 3 7
Vardas56838 Pavardė56838 2 4 3 9
Vardas56839 Pavardė56839 4 6 6 9
Vardas56840 Pavardė56840 10 9 1 1
Vardas56841 Pavardė56841 7 10 6 8
Vardas56842 Pavardė56842 2 2 4 3
Vardas56843 Pavardė56843 9 9 8 9
Vardas56844 Pavardė56844 4 0 4 9
Vardas56845 Pavardė56845 3 2 0 10
Vardas56846 Pavardė56846 0 2 0 5
Vardas56847 Pavardė56847 4 0 0 1
Vardas56848 Pavardė56848 5 2 7 7
Vardas56849 Pavardė56849 9 3 7 9
Vardas56850 Pavardė56850 3 5 3 0
Vardas56851 Pavardė56851 1 3 10 4
Vardas56852 Pavardė56852 6 3 5 5
Vardas56853 Pavardė56853 4 1 8 3
Vardas56854 Pavardė56854 9 3 1 1
Vardas56855 Pavardė56855 1 10 3 2
Vardas56856 Pavardė56856 2 4 6 7
Vardas56857 Pavardė56857 5 10 2 4
Vardas56858 Pavardė56858 4 10 10 4
Vardas56859 Pavardė56859 4 2 4 7
Vardas56860 Pavardė56860 4 9 7 10
Vardas56861 Pavardė56861 4 9 7 2
Vardas56862 Pavardė56862 9 3 1 10
Vardas56863 Pavardė56863 8 5 7 4
Vardas56864 Pavardė56864 10 3 10 7
Vardas56865 Pavardė56865 5 4 3 2
Vardas56866 Pavardė56866 7 7 4 7
Vardas56867 Pavardė56867 2 0 10 9
Vardas56868 Pavardė56868 9 4 9 8
Vardas56869 Pavardė56869 9 2 1 2
Vardas56870 Pavardė56870 9 2 10 0
Vardas56871 Pavardė56871 10 8 6 10
Vardas56872 Pavardė56872 9 1 9 7
Vardas56873 Pavardė56873 5 2 10 0
Vardas56874 Pavardė56874 4 9 1 1
Vardas56875 Pavardė56875 9 5 2 9
Vardas56876 Pavardė56876 4 3 5 5
Vardas56877 Pavardė56877 5 5 0 2
Vardas56878 Pavardė56878 0 0 7 2
Vardas56879 Pavardė56879 7 2 7 10
Vardas56880 Pavardė56880 7 4 10 2
Vardas56881 Pavardė56881 1 0 9 6
Vardas56882 Pavardė56882 4 7 9 8
Vardas56883 Pavardė56883 6 5 3 10
Vardas56884 Pavardė56884 10 8 1 2
Vardas56885 Pavardė56885 2 7 7 4
Vardas56886 Pavardė56886 9 7 4 3
Vardas56887 Pavardė56887 6 1 10 1
Vardas56888 Pavardė56888 3 7 8 9
Vardas56889 Pavardė56889 2 9 5 3
Vardas56890 Pavardė56890 2 6 3 6
Vardas56891 Pavardė56891 8 9 3 8
Vardas56892 Pavardė56892 9 6 6 2
Vardas56893 Pavardė56893 3 4 6 7
Vardas56894 Pavardė56894 7 8 7 8
Vardas56895 Pavardė56895 5 9 3 3
Vardas56896 Pavardė56896 6 7 2 5
Vardas56897 Pavardė56897 1 2 0 3
Vardas56898 Pavardė56898 7 1 7 1
Vardas56899 Pavardė56899 6 8 10 0
Vardas56900 Pavardė56900 9 6 10 4
Vardas56901 Pavardė56901 7 9 8 8
Vardas56902 Pavardė56902 9 10 2 2
Vardas56903 Pavardė56903 2 0 0 0
Vardas56904 Pavardė56904 6 1 5 9
Vardas56905 Pavardė56905 8 3 3 0
Vardas56906 Pavardė56906 0 9 2 3
Vardas56907 Pavardė56907 2 1 7 2
Vardas56908 Pavardė56908 4 1 4 6
Vardas56909 Pavardė56909 8 8 9 1
Vardas56910 Pavardė56910 7 1 10 7
Vardas56911 Pavardė56911 4 4 10 7
Vardas56912 Pavardė56912 6 2 0 4
Vardas56913 Pavardė56913 5 1 9 2
Vardas56914 Pavardė56914 1 2 5 2
Vardas56915 Pavardė56915 9 2 4 5
Vardas56916 Pavardė56916 2 2 3 3
Vardas56917 Pavardė56917 1 3 3 3
Vardas56918 Pavardė56918 3 2 10 6
Vardas56919 Pavardė56919 8 8 5 6
Vardas56920 Pavardė56920 10 5 1 2
Vardas56921 Pavardė56921 10 9 0 10
Vardas56922 Pavardė56922 0 3 1 5
Vardas56923 Pavardė56923 8 4 3 1
Vardas56924 Pavardė56924 4 0 4 2
Vardas56925 Pavardė56925 3 9 3 4
Vardas56926 Pavardė56926 1 4 5 5
Vardas56927 Pavardė56927 8 8 10 6
Vardas56928 Pavardė56928 9 4 8 9
Vardas56929 Pavardė56929 6 7 9 7
Vardas56930 Pavardė56930 7 7 2 10
Vardas56931 Pavardė56931 10 0 9 1
Vardas56932 Pavardė56932 9 2 6 6
Vardas56933 Pavardė56933 8 4 7 7
Vardas56934 Pavardė56934 3 9 4 5
Vardas56935 Pavardė56935 1 4 1 9
Vardas56936 Pavardė56936 4 8 8 10
Vardas56937 Pavardė56937 9 10 1 0
Vardas56938 Pavardė56938 3 4 8 9
Vardas56939 Pavardė56939 5 6 1 5
Vardas56940 Pavardė56940 7 1 10 6
Vardas56941 Pavardė56941 10 5 1 0
Vardas56942 Pavardė56942 9 5 2 2
Vardas56943 Pavardė56943 5 8 9 2
Vardas56944 Pavardė56944 10 2 6 8
Vardas56945 Pavardė56945 2 1 2 4
Vardas56946 Pavardė56946 2 5 4 7
Vardas56947 Pavardė56947 5 7 5 8
Vardas56948 Pavardė56948 5 2 9 3
Vardas56949 Pavardė56949 4 6 10 1
Vardas56950 Pavardė56950 2 0 0 10
Vardas56951 Pavardė56951 2 10 2 1
Vardas56952 Pavardė56952 4 9 5 6
Vardas56953 Pavardė56953 0 6 3 9
Vardas56954 Pavardė56954 9 1 6 4
Vardas56955 Pavardė56955 0 9 5 5
Vardas56956 Pavardė56956 5 2 7 6
Vardas56957 Pavardė56957 4 3 2 9
Vardas56958 Pavardė56958 1 7 1 2
Vardas56959 Pavardė56959 0 3 7 1
Vardas56960 Pavardė56960 1 2 2 2
Vardas56961 Pavardė56961 9 2 4 5
Vardas56962 Pavardė56962 8 4 2 2
Vardas56963 Pavardė56963 0 0 6 0
Vardas56964 Pavardė56964 2 10 5 10
Vardas56965 Pavardė56965 4 3 6 4
Vardas56966 Pavardė56966 0 1 9 2
Vardas56967 Pavardė56967 2 9 8 5
Vardas56968 Pavardė56968 10 8 4 10
Vardas56969 Pavardė56969 9 5 10 4
Vardas56970 Pavardė56970 10 10 2 8
Vardas56971 Pavardė56971 4 10 10 8
Vardas56972 Pavardė56972 7 0 9 3
Vardas56973 Pavardė56973 6 1 5 2
Vardas56974 Pavardė56974 6 7 9 7
Vardas56975 Pavardė56975 4 2 2 3
Vardas56976 Pavardė56976 1 2 6 0
Vardas56977 Pavardė56977 4 3 5 1
Vardas56978 Pavardė56978 9 7 10 1
Vardas56979 Pavardė56979 1 8 6 8
Vardas56980 Pavardė56980 5 7 5 8
Vardas56981 Pavardė56981 3 10 4 6
Vardas56982 Pavardė56982 2 4 1 9
Vardas56983 Pavardė56983 9 9 1 8
Vardas56984 Pavardė56984 4 3 7 5
Vardas56985 Pavardė56985 8 5 10 3
Vardas56986 Pavardė56986 7 5 0 3
Vardas56987 Pavardė56987 2 2 9 8
Vardas56988 Pavardė56988 6 7 3 9
Vardas56989 Pavardė56989 10 5 10 2
Vardas56990 Pavardė56990 6 8 6 1
Vardas56991 Pavardė56991 0 4 5 7
Vardas56992 Pavardė56992 10 9 4 4
Vardas56993 Pavardė56993 2 3 0 3
Vardas56994 Pavardė56994 7 8 10 1
Vardas56995 Pavardė56995 4 7 3 6
Vardas56996 Pavardė56996 4 4 3 1
Vardas56997 Pavardė56997 6 9 9 2
Vardas56998 Pavardė56998 10 10 8 3
Vardas56999 Pavardė56999 2 4 1 5
Vardas57000 Pavardė57000 6 7 4 2
Vardas57001 Pavardė57001 10 5 4 6
Vardas57002 Pavardė57002 0 4 7 5
Vardas57003 Pavardė57003 6 2 10 9
Vardas57004 Pavardė57004 10 7 2 2
Vardas57005 Pavardė57005 5 2 6 2
Vardas57006 Pavardė57006 8 7 0 5
Vardas57007 Pavardė57007 9 8 3 0
Vardas57008 Pavardė57008 4 0 7 9
Vardas57009 Pavardė57009 2 3 2 0
Vardas57010 Pavardė57010 9 10 6 7
Vardas57011 Pavardė57011 5 4 5 1
Vardas57012 Pavardė57012 5 3 0 3
Vardas57013 Pavardė57013 10 8 10 7
Vardas57014 Pavardė57014 5 4 2 1
Vardas57015 Pavardė57015 1 2 1 5
Vardas57016 Pavardė57016 0 7 5 5
Vardas57017 Pavardė57017 1 1 3 7
Vardas57018 Pavardė57018 2 5 7 4
Vardas57019 Pavardė57019 0 4 5 7
Vardas57020 Pavardė57020 0 2 2 6
Vardas57021 Pavardė57021 10 9 0 1
Vardas57022 Pavardė57022 5 9 3 2
Vardas57023 Pavardė57023 5 10 6 0
Vardas57024 Pavardė57024 6 2 1 8
Vardas57025 Pavardė57025 9 3 4 3
Vardas57026 Pavardė57026 5 9 8 7
Vardas57027 Pavardė57027 9 10 0 5
Vardas57028 Pavardė57028 9 3 1 9
Vardas57029 Pavardė57029 7 8 1 6
Vardas57030 Pavardė57030 10 7 5 9
Vardas57031 Pavardė57031 8 10 1 10
Vardas57032 Pavardė57032 7 5 3 4
Vardas57033 Pavardė57033 3 3 10 8
Vardas57034 Pavardė57034 3 2 7 8
Vardas57035 Pavardė57035 8 4 1 8
Vardas57036 Pavardė57036 8 8 5 10
Vardas57037 Pavardė57037 1 2 7 3
Vardas57038 Pavardė57038 3 10 2 5
Vardas57039 Pavardė57039 6 2 0 10
Vardas57040 Pavardė57040 2 3 8 7
Vardas57041 Pavardė57041 8 7 10 3
Vardas57042 Pavardė57042 1 6 3 5
Vardas57043 Pavardė57043 2 7 5 0
Vardas57044 Pavardė57044 0 8 4 7
Vardas57045 Pavardė57045 4 7 4 0
Vardas57046 Pavardė57046 8 4 10 0
Vardas57047 Pavardė57047 9 2 5 9
Vardas57048 Pavardė57048 9 8 6 3
Vardas57049 Pavardė57049 3 10 1 3
Vardas57050 Pavardė57050 6 4 10 8
Vardas57051 Pavardė57051 1 5 3 2
Vardas57052 Pavardė57052 4 5 10 4
Vardas57053 Pavardė57053 7 9 0 7
Vardas57054 Pavardė57054 7 2 6 7
Vardas57055 Pavardė57055 8 1 9 2
Vardas57056 Pavardė57056 6 9 3 0
Vardas57057 Pavardė57057 8 10 2 0
Vardas57058 Pavardė57058 10 9 1 0
Vardas57059 Pavardė57059 0 8 8 8
Vardas57060 Pavardė57060 10 4 5 5
Vardas57061 Pavardė57061 7 5 10 8
Vardas57062 Pavardė57062 0 4 4 0
Vardas57063 Pavardė57063 6 5 9 6
Vardas57064 Pavardė57064 7 8 10 1
Vardas57065 Pavardė57065 1 6 2 4
Vardas57066 Pavardė57066 10 6 3 10
Vardas57067 Pavardė57067 4 4 8 0
Vardas57068 Pavardė57068 6 0 7 0
Vardas57069 Pavardė57069 4 6 4 8
Vardas57070 Pavardė57070 2 6 4 9
Vardas57071 Pavardė57071 2 8 7 0
Vardas57072 Pavardė57072 1 7 6 3
Vardas57073 Pavardė57073 4 8 2 3
Vardas57074 Pavardė57074 6 9 7 7
Vardas57075 Pavardė57075 0 5 6 1
Vardas57076 Pavardė57076 3 8 3 4
Vardas57077 Pavardė57077 0 0 0 0
Vardas57078 Pavardė57078 0 6 3 6
Vardas57079 Pavardė57079 6 7 10 10
Vardas57080 Pavardė57080 3 1 0 4
Vardas57081 Pavardė57081 6 3 10 6
Vardas57082 Pavardė57082 7 5 1 5
Vardas57083 Pavardė57083 2 4 6 2
Vardas57084 Pavardė57084 8 4 4 0
Vardas57085 Pavardė57085 2 10 5 5
Vardas57086 Pavardė57086 1 0 8 6
Vardas57087 Pavardė57087 0 9 4 0
Vardas57088 Pavardė57088 2 4 6 8
Vardas57089 Pavardė57089 3 6 7 7
Vardas57090 Pavardė57090 2 1 0 3
Vardas57091 Pavardė57091 6 1 8 1
Vardas57092 Pavardė57092 1 5 3 9
Vardas57093 Pavardė57093 8 5 9 2
Vardas57094 Pavardė57094 0 6 7 10
Vardas57095 Pavardė57095 3 1 5 3
Vardas57096 Pavardė57096 10 3 2 0
Vardas57097 Pavardė57097 6 7 7 9
Vardas57098 Pavardė57098 7 8 0 0
Vardas57099 Pavardė57099 5 1 7 7
Vardas57100 Pavardė57100 9 2 5 3
Vardas57101 Pavardė57101 8 8 3 1
Vardas57102 Pavardė57102 2 7 2 9
Vardas57103 Pavardė57103 3 3 10 3
Vardas57104 Pavardė57104 4 0 10 1
Vardas57105 Pavardė57105 2 10 6 6
Vardas57106 Pavardė57106 2 10 8 3
Vardas57107 Pavardė57107 5 0 8 4
Vardas57108 Pavardė57108 10 1 5 0
Vardas57109 Pavardė57109 9 4 6 7
Vardas57110 Pavardė57110 3 1 8 10
Vardas57111 Pavardė57111 1 6 8 5
Vardas57112 Pavardė57112 9 8 5 6
Vardas57113 Pavardė57113 10 9 1 9
Vardas57114 Pavardė57114 3 0 4 8
Vardas57115 Pavardė57115 9 1 2 6
Vardas57116 Pavardė57116 10 5 5 10
Vardas57117 Pavardė57117 8 7 9 7
Vardas57118 Pavardė57118 8 7 10 0
Vardas57119 Pavardė57119 6 0 3 3
Vardas57120 Pavardė57120 10 10 7 7
Vardas57121 Pavardė57121 6 8 7 6
Vardas57122 Pavardė57122 10 10 10 5
Vardas57123 Pavardė57123 2 1 8 6
Vardas57124 Pavardė57124 9 4 4 4
Vardas57125 Pavardė57125 4 1 4 1
Vardas57126 Pavardė57126 10 2 7 7
Vardas57127 Pavardė57127 5 7 9 10
Vardas57128 Pavardė57128 10 8 10 8
Vardas57129 Pavardė57129 9 2 9 6
Vardas57130 Pavardė57130 5 9 10 2
Vardas57131 Pavardė57131 6 8 0 6
Vardas57132 Pavardė57132 10 0 8 1
Vardas57133 Pavardė57133 2 4 1 6
Vardas57134 Pavardė57134 3 8 8 4
Vardas57135 Pavardė57135 7 9 2 4
Vardas57136 Pavardė57136 6 0 8 0
Vardas57137 Pavardė57137 4 0 7 3
Vardas57138 Pavardė57138 9 1 1 5
Vardas57139 Pavardė57139 4 10 1 5
Vardas57140 Pavardė57140 3 6 9 1
Vardas57141 Pavardė57141 1 2 5 8
Vardas57142 Pavardė57142 4 3 6 1
Vardas57143 Pavardė57143 0 1 0 5
Vardas57144 Pavardė57144 9 1 7 2
Vardas57145 Pavardė57145 8 10 5 5
Vardas57146 Pavardė57146 5 1 1 6
Vardas57147 Pavardė57147 9 6 2 0
Vardas57148 Pavardė57148 2 7 9 9
Vardas57149 Pavardė57149 6 5 9 7
Vardas57150 Pavardė57150 3 3 7 3
Vardas57151 Pavardė57151 2 7 6 10
Vardas57152 Pavardė57152 3 10 7 3
Vardas57153 Pavardė57153 8 9 4 2
Vardas57154 Pavardė57154 2 3 2 10
Vardas57155 Pavardė57155 5 7 10 10
Vardas57156 Pavardė57156 4 7 5 9
Vardas57157 Pavardė57157 3 0 1 0
Vardas57158 Pavardė57158 7 6 6 5
Vardas57159 Pavardė57159 0 2 1 4
Vardas57160 Pavardė57160 2 0 10 8
Vardas57161 Pavardė57161 10 6 4 8
Vardas57162 Pavardė57162 3 3 6 5
Vardas57163 Pavardė57163 1 2 8 6
Vardas57164 Pavardė57164 4 1 1 3
Vardas57165 Pavardė57165 10 10 2 5
Vardas57166 Pavardė57166 5 10 4 7
Vardas57167 Pavardė57167 10 5 2 2
Vardas57168 Pavardė57168 0 4 6 4
Vardas57169 Pavardė57169 10 3 10 0
Vardas57170 Pavardė57170 5 6 9 4
Vardas57171 Pavardė57171 3 5 8 5
Vardas57172 Pavardė57172 8 9 2 5
Vardas57173 Pavardė57173 9 1 4 3
Vardas57174 Pavardė57174 2 5 0 3
Vardas57175 Pavardė57175 0 0 7 8
Vardas57176 Pavardė57176 7 1 5 0
Vardas57177 Pavardė57177 1 1 3 9
Vardas57178 Pavardė57178 1 1 7 1
Vardas57179 Pavardė57179 10 10 9 6
Vardas57180 Pavardė57180 10 6 3 4
Vardas57181 Pavardė57181 8 10 10 9
Vardas57182 Pavardė57182 0 1 1 2
Vardas57183 Pavardė57183 6 9 4 9
Vardas57184 Pavardė57184 7 1 1 2
Vardas57185 Pavardė57185 1 3 7 10
Vardas57186 Pavardė57186 9 6 0 6
Vardas57187 Pavardė57187 1 7 5 0
Vardas57188 Pavardė57188 4 1 5 8
Vardas57189 Pavardė57189 10 7 6 2
Vardas57190 Pavardė57190 2 0 9 2
Vardas57191 Pavardė57191 4 8 4 6
Vardas57192 Pavardė57192 0 7 8 9
Vardas57193 Pavardė57193 3 3 8 9
Vardas57194 Pavardė57194 0 1 1 0
Vardas57195 Pavardė57195 1 4 1 7
Vardas57196 Pavardė57196 6 4 6 3
Vardas57197 Pavardė57197 0 6 1 3
Vardas57198 Pavardė57198 7 4 4 8
Vardas57199 Pavardė57199 10 0 3 9
Vardas57200 Pavardė57200 1 0 5 8
Vardas57201 Pavardė57201 2 3 10 9
Vardas57202 Pavardė57202 10 6 3 0
Vardas57203 Pavardė57203 10 6 7 1
Vardas57204 Pavardė57204 9 6 2 7
Vardas57205 Pavardė57205 5 4 8 10
Vardas57206 Pavardė57206 9 8 6 7
Vardas57207 Pavardė57207 8 5 8 0
Vardas57208 Pavardė57208 8 4 7 7
Vardas57209 Pavardė57209 1 10 4 2
Vardas57210 Pavardė57210 1 2 2 5
Vardas57211 Pavardė57211 6 10 9 0
Vardas57212 Pavardė57212 6 10 9 0
Vardas57213 Pavardė57213 5 4 6 7
Vardas57214 Pavardė57214 6 3 5 0
Vardas57215 Pavardė57215 4 5 5 8
Vardas57216 Pavardė57216 5 4 0 2
Vardas57217 Pavardė57217 6 8 1 1
Vardas57218 Pavardė57218 0 1 7 6
